Type,Category,Source,Material,Subproduct,Usage,
Organic,Biomass,Corn,Corn Husks,Corn Husk Fiber,Papermaking,
Organic,Biomass,Corn,Corn Husks,Corn Husk Fiber,Packaging material,
Organic,Biomass,Corn,Corn Husks,Corn Husk Mulch,Soil erosion control,
Organic,Biomass,Corn,Corn Husks,Corn Husk Mulch,Garden bedding,
Organic,Biomass,Wheat,Wheat Straw,Wheat Straw Mulch,Soil moisture retention,
Organic,Biomass,Wheat,Wheat Straw,Wheat Straw Mulch,Animal bedding,
Organic,Biomass,Wheat,Wheat Straw,Wheat Straw Briquettes,Biomass fuel,
Organic,Biomass,Wheat,Wheat Straw,Wheat Straw Briquettes,Cooking fuel,
Mechanical,Plastic,Plastic Packaging Waste,PET Bottles,Recycled PET Flakes,New bottles,
Mechanical,Plastic,Plastic Packaging Waste,PET Bottles,Recycled PET Flakes,Polyester fabric,
Mechanical,Plastic,Plastic Packaging Waste,PVC Pipes,Recycled PVC,New pipes,
Organic,Vegetable,Corn,Corn Husks,Corn Husk Fiber,Crafts,
Mechanical,Plastic,Plastic Packaging Waste,Plastic Bags,Recycled Plastic,New bags,
Mechanical,Plastic,Plastic Packaging Waste,Plastic Bags,Recycled Plastic,Plastic products,
Mechanical,Plastic,Plastic Packaging Waste,Plastic Bags,Plastic Pellets,Injection molding,
Mechanical,Metal,Metal Packaging Waste,Aluminum Cans,Recycled Aluminum,New cans,
Mechanical,Metal,Metal Packaging Waste,Aluminum Cans,Recycled Aluminum,Automotive parts,
Mechanical,Metal,Metal Packaging Waste,Steel Cans,Recycled Steel,New steel products,
Mechanical,Metal,Metal Packaging Waste,Steel Cans,Recycled Steel,Construction,
Mechanical,Metal,Metal Packaging Waste,Tin Cans,Recycled Tin,New tin products,
Mechanical,Metal,Metal Packaging Waste,Tin Cans,Recycled Tin,Metal fabrication,
Organic,Vegetable,Beet,Beet Pulp,Beet Pulp Extract,Food coloring,
Organic,Vegetable,Beet,Beet Pulp,Beet Pulp Extract,Natural sweetener,
Organic,Vegetable,Asparagus,Asparagus Stems,Asparagus Stem Fiber,Crafts,
Organic,Vegetable,Beet,Beet Pulp,Beet Pulp Pellets,Fuel pellets,
Organic,Vegetable,Artichoke,Artichoke leaves,Artichoke extract,Dietary supplement,
Organic,Fruit,Avocado,Avocado seeds,Avocado seed powder,Dietary supplement,
Organic,Vegetable,Cucumber,Cucumber Peels,Cucumber Peel Powder,Food coloring,
Organic,Vegetable,Cucumber,Cucumber Peels,Cucumber Peel Powder,Natural remedy,
Organic,Biomass,Coconut,Coconut Shells,Coconut Shell Charcoal,Water filtration,
Organic,Biomass,Coconut,Coconut Shells,Coconut Shell Charcoal,Barbecue fuel,
Organic,Biomass,Coconut,Coconut Shells,Coconut Coir,Horticulture,
Organic,Vegetable,Olive,Olive Pomace,Olive Leaf Extract,Dietary Supplement,
Organic,Grains,Rice,Rice Husks,Rice Husk Ash,Soil amendment,
Organic,Vegetable,Tomato,Tomato Skins,Lycopene Extract,Dietary Supplement,
Organic,Grains,Rice,Rice Husks,Rice Bran,Food processing,
Organic,Vegetable,Onion,Onion Peels,Onion Peel Powder,Culinary seasoning,
Organic,Vegetable,Onion,Onion Peels,Onion Peel Powder,Natural dye,
Organic,Vegetable,Celery,Celery Trimmings,Celery Juice,Dietary supplement,
Organic,Vegetable,Onion,Onion Peels,Onion Peel Extract,Natural dye,
Organic,Vegetable,Bell Pepper,Bell Pepper Seeds,Bell Pepper Seed Oil,Cooking oil,
Organic,Vegetable,Cucumber,Cucumber Peels,Cucumber Peel Extract,Dietary supplement,
Organic,Fruit,Pineapple,Pineapple Cores,Pineapple Core Powder,Dietary supplement,
Organic,Vegetable,Bell Pepper,Bell Pepper Seeds,Bell Pepper Seed Extract,Herbal remedy,
Organic,Fruit,Orange,Orange Peels,Orange Peel Powder,Natural cleaner,
Organic,Vegetable,Asparagus,Asparagus Stems,Asparagus Stem Extract,Dietary supplement,
Organic,Fruit,Orange,Orange Peels,Orange Peel Extract,Aromatherapy,
Organic,Fruit,Papaya,Papaya Seeds,Papaya Seed Powder,Dietary supplement,
Organic,Vegetable,Corn,Corn Husks,Corn Husk Fiber,Packaging material,
Organic,Grains,Barley,Barley Husks,Barley Husk Extract,Dietary supplement,
Organic,Vegetable,Broccoli,Broccoli Stalks,Broccoli Stalk Extract,Dietary supplement,
Organic,Vegetable,Zucchini,Zucchini Seeds,Zucchini Seed Oil,Dietary supplement,
Organic,Vegetable,Spinach,Spinach Leaves,Spinach Leaf Extract,Natural dye,
Organic,Vegetable,Spinach,Spinach Leaves,Spinach Leaf Extract,Herbal medicine,
Organic,Vegetable,Spinach,Spinach Leaves,Spinach Leaf Powder,Food seasoning,
Organic,Vegetable,Brussels Sprouts,Brussels Sprouts Leaves,Brussels Sprouts Leaf Extract,Dietary supplement,
Organic,Vegetable,Sweet Potato,Sweet Potato Peels,Sweet Potato Peel Powder,Dietary fiber,
Organic,Vegetable,Sweet Potato,Sweet Potato Peels,Sweet Potato Peel Powder,Food coloring,
Organic,Fruit,Guava,Guava Seeds,Guava Seed Extract,Dietary supplement,
Organic,Vegetable,Sweet Potato,Sweet Potato Peels,Sweet Potato Peel Extract,Culinary,
Organic,Vegetable,Collard Green,Collard Green Stems,Collard Green Stem Extract,Dietary supplement,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Butter,Hair care,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Oil,Cooking oil,
Organic,Vegetable,Beetroot,Beetroot Stems,Beetroot Stem Extract,Dietary supplement,
Organic,Fruit,Pineapple,Pineapple Cores,Bromelain Extract,Digestive enzyme,
Organic,Fruit,Pineapple,Pineapple Cores,Bromelain Extract,Meat tenderizer,
Organic,Vegetable,Kale,Kale Leaves,Kale Leaf Extract,Dietary supplement,
Organic,Fruit,Pineapple,Pineapple Cores,Pineapple Core Powder,Food seasoning,
Organic,Vegetable,Asparagus,Asparagus Stems,Asparagus Stem Fiber,Textiles,
Organic,Fruit,Pomegranate,Pomegranate peels,Pomegranate peel powder,Dietary supplement,
Organic,Animal,Fish,Fish Scraps,Fish oil,Dietary supplement,
Organic,Vegetable,Asparagus,Asparagus Stems,Asparagus Stem Extract,Natural dye,
Organic,Fruit,Papaya,Papaya Seeds,Papaya Seed Oil,Cooking oil,
Organic,Fruit,Orange,Orange Peels,Orange Peel Extract,Dietary supplement,
Organic,Vegetable,Potato,Potato peels,Biogas,Energy,
Organic,Vegetable,Squash,Squash seeds,Biofuel,Energy,
Organic,Vegetable,Artichoke,Artichoke Leaves,Artichoke Leaf Extract,Digestive aid,
Organic,Vegetable,Artichoke,Artichoke Leaves,Artichoke Leaf Extract,Herbal remedy,
Organic,Vegetable,Artichoke,Artichoke Leaves,Artichoke Leaf Powder,Culinary,
Organic,Vegetable,Artichoke,Artichoke Leaves,Artichoke Leaf Powder,Food seasoning,
Organic,Grains,Barley,Barley Husks,Barley Husk Mulch,Soil amendment,
Organic,Grains,Barley,Barley Husks,Barley Husk Mulch,Gardening,
Organic,Fruit,Banana,Banana peels,Bioethanol,Energy,
Organic,Biomass,Algae,Algae biomass,Biofuel,Energy,
Organic,Fruit,Kiwi,Kiwi Skins,Kiwi Skin Extract,Natural dye,
Organic,Biomass,Algae,Algae biomass,Biofuel,Energy,
Organic,Vegetable,Onion,Onion Skins,Onion Skin Powder,Flavoring,
Organic,Vegetable,Celery,Celery Trimmings,Celery Extract,Flavoring,
Organic,Vegetable,Broccoli,Broccoli Stalks,Broccoli Stalk Fiber,Textiles,
Organic,Vegetable,Broccoli,Broccoli Stalks,Broccoli Stalk Fiber,Papermaking,
Organic,Vegetable,Squash,Squash seeds,Roasted snack,Food,
Organic,Vegetable,Broccoli,Broccoli Stalks,Broccoli Stalk Extract,Natural dye,
Organic,Vegetable,Zucchini,Zucchini Seeds,Zucchini Seed Oil,Cooking oil,
Organic,Fruit,Papaya,Papaya seeds,Edible seeds,Food,
Organic,Fruit,Coffee,Coffee Grounds,Coffee Extract,Flavoring,
Organic,Vegetable,Zucchini,Zucchini Seeds,Zucchini Seed Extract,Hair care,
Organic,Vegetable,Brussels Sprouts,Brussels Sprouts Leaves,Brussels Sprouts Leaf Powder,Food seasoning,
Organic,Vegetable,Onion,Onion Peels,Onion Peel Extract,Flavoring,
Organic,Fruit,Orange,Orange Peels,Orange Peel Extract,Flavoring,
Organic,Vegetable,Brussels Sprouts,Brussels Sprouts Leaves,Brussels Sprouts Leaf Extract,Natural dye,
Organic,Fruit,Kiwi,Kiwi Skins,Kiwi Skin Powder,Flavoring,
Organic,Fruit,Guava,Guava Seeds,Guava Seed Oil,Hair care,
Organic,Fruit,Guava,Guava Seeds,Guava Seed Extract,Flavoring,
Organic,Fruit,Lychee,Lychee Skins,Lychee Skin Powder,Flavoring,
Organic,Vegetable,Turnip,Turnip Tops,Turnip Top Extract,Herbal remedy,
Organic,Vegetable,Turnip,Turnip Tops,Turnip Top Extract,Culinary,
Organic,Vegetable,Turnip,Turnip Tops,Turnip Top Powder,Food seasoning,
Organic,Vegetable,Turnip,Turnip Tops,Turnip Top Powder,Natural dye,
Organic,Fruit,Peach,Peach Skins,Peach Skin Powder,Flavoring,
Organic,Fruit,Grapes,Grape stems,Resveratrol,Nutritional supplement,
Organic,Vegetable,Beet,Beet greens,Beet green powder,Nutritional supplement,
Organic,Fruit,Lychee,Lychee Skins,Lychee Skin Extract,Hair care,
Organic,Vegetable,Collard Green,Collard Green Stems,Collard Green Stem Fiber,Textiles,
Organic,Vegetable,Collard Green,Collard Green Stems,Collard Green Stem Fiber,Papermaking,
Organic,Fruit,Grape,Grape Pomace,Grape Pomace Extract,Nutritional Supplement,
Organic,Vegetable,Collard Green,Collard Green Stems,Collard Green Stem Extract,Natural dye,
Organic,Vegetable,Swiss Chard,Swiss Chard Stems,Swiss Chard Stem Extract,Antioxidant supplement,
Organic,Vegetable,Swiss Chard,Swiss Chard Stems,Swiss Chard Stem Extract,Natural dye,
Organic,Fruit,Grapefruit,Grapefruit Rinds,Grapefruit Rind Oil,Aromatherapy,
Organic,Fruit,Grapefruit,Grapefruit Rinds,Grapefruit Rind Oil,Cooking oil,
Organic,Vegetable,Radish,Radish Roots,Radish Root Powder,Natural dye,
Organic,Vegetable,Radish,Radish Roots,Radish Root Extract,Herbal medicine,
Organic,Fruit,Watermelon,Watermelon Rinds,Watermelon Rind Jam,Spread,
Organic,Fruit,Watermelon,Watermelon Rinds,Watermelon Rind Pickle,Preservative,
Organic,Vegetable,Spinach,Spinach Stalks,Spinach Stalk Extract,Nutritional Supplement,
Organic,Vegetable,Pumpkin,Pumpkin Seeds,Pumpkin Seed Butter,Cooking oil,
Organic,Vegetable,Cucumber,Cucumber Seeds,Cucumber Seed Oil,Hair care,
Organic,Vegetable,Cucumber,Cucumber Seeds,Cucumber Seed Oil,Cooking oil,
Organic,Vegetable,Bell Pepper,Bell Pepper Seeds,Bell Pepper Seed Extract,Nutritional supplement,
Organic,Fruit,Lemon,Lemon Peels,Lemon Peel Powder,Food seasoning,
Organic,Vegetable,Beetroot,Beetroot Stems,Beetroot Stem Fiber,Textiles,
Organic,Vegetable,Beetroot,Beetroot Stems,Beetroot Stem Fiber,Papermaking,
Organic,Grains,Wheat,Wheat Bran,Wheat Bran Oil,Nutritional supplement,
Organic,Vegetable,Beetroot,Beetroot Stems,Beetroot Stem Extract,Natural dye,
Organic,Vegetable,Spinach,Spinach Leaves,Spinach Leaf Powder,Nutritional supplement,
Organic,Vegetable,Sweet Potato,Sweet Potato Peels,Sweet Potato Peel Extract,Nutritional supplement,
Organic,Fruit,Plum,Plum Pits,Plum Pit Oil,Cooking oil,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Oil,Nutritional supplement,
Organic,Vegetable,Tomato,Tomato Leaves,Tomato Leaf Powder,Natural insect repellent,
Organic,Vegetable,Tomato,Tomato Leaves,Tomato Leaf Powder,Natural dye,
Organic,Vegetable,Celery,Celery Roots,Celery Root Extract,Herbal medicine,
Organic,Vegetable,Celery,Celery Roots,Celery Root Extract,Cooking seasoning,
Organic,Vegetable,Kale,Kale Leaves,Kale Leaf Powder,Food seasoning,
Organic,Fruit,Papaya,Papaya Seeds,Papaya Seed Powder,Nutritional supplement,
Organic,Dairy,Whey,Protein powder,Protein powder,Sports nutrition,
Organic,Dairy,Whey,Protein powder,Protein powder,Food additives,
Organic,Dairy,Whey,Lactose,Lactose,Food sweetener,
Organic,Dairy,Whey,Lactose,Lactose,Fermentation substrate,
Organic,Dairy,Whey,Biomass,Biomass,Anaerobic digestion,
Organic,Grains,Barley,Barley Husks,Barley Husk Extract,Nutritional supplement,
Organic,Seafood,Shellfish,Shellfish shells,Calcium carbonate,Agriculture,
Organic,Seafood,Shellfish,Shellfish shells,Calcium carbonate,Construction,
Organic,Vegetable,Brussels Sprouts,Brussels Sprouts Leaves,Brussels Sprouts Leaf Powder,Nutritional supplement,
Organic,Seafood,Shellfish,Shellfish shells,Chitin,Biomedical applications,
